crop_name,prediction,ground_truth,correct
DJI_20260418132530_0005_S_t00011_box0.jpg,TBJU5713838,TBJU5713838,True
DJI_20260418132530_0005_S_t00011_box1.jpg,TBCU6204127,TBCU0166455,False
DJI_20260418132530_0005_S_t00021_box0.jpg,TBJU5327809,TBJU5327809,True
DJI_20260418132530_0005_S_t00021_box1.jpg,TBJU3290357,TBJU3290357,True
DJI_20260418132530_0005_S_t00023_box0.jpg,TBJU3290357,TBJU3290357,True
DJI_20260418132530_0005_S_t00023_box1.jpg,TBJU6548764,TBJU6548764,True
DJI_20260418132530_0005_S_t00025_box0.jpg,TBJU6548764,TBJU6548764,True
DJI_20260418132530_0005_S_t00025_box1.jpg,TBJU0633832,TBJU0633832,True
DJI_20260418132530_0005_S_t00026_box0.jpg,TBJU6548764,TBJU6548764,True
DJI_20260418132530_0005_S_t00026_box1.jpg,TBJU06313837,TBJU0633832,False
DJI_20260418132530_0005_S_t00027_box0.jpg,TBJU0633832,TBJU0633832,True
DJI_20260418132530_0005_S_t00027_box1.jpg,TBJU1015340,TBJU1015340,True
DJI_20260418132530_0005_S_t00028_box0.jpg,TBJU0633832,TBJU0633832,True
DJI_20260418132530_0005_S_t00028_box1.jpg,TBJU1015340,TBJU1015340,True
DJI_20260418132530_0005_S_t00029_box0.jpg,TBJU1015340,TBJU1015340,True
DJI_20260418132530_0005_S_t00029_box1.jpg,TBJU1604931,TBJU1604931,True
DJI_20260418132530_0005_S_t00031_box0.jpg,TBJU1604931,TBJU1604931,True
DJI_20260418132530_0005_S_t00031_box1.jpg,TBJU0551689,TBJU0551681,False
DJI_20260418132530_0005_S_t00049_box0.jpg,TBJU6904654,TBJU6104654,False
DJI_20260418132530_0005_S_t00049_box1.jpg,TBJU5029466,TBJU5029466,True
DJI_20260418132530_0005_S_t00049_box2.jpg,TBJU199370,TBJU1931370,False
DJI_20260418132530_0005_S_t00050_box0.jpg,TBJU5029466,TBJU5029466,True
DJI_20260418132530_0005_S_t00050_box1.jpg,TBJU1931370,TBJU1931370,True
DJI_20260418132530_0005_W_t00012_box0.jpg,TBJU5713838,TBJU5113818,False
DJI_20260418132530_0005_W_t00012_box1.jpg,TBJU6587930,TBCU0166455,False
DJI_20260418132530_0005_W_t00012_box2.jpg,TBJU54189,TBJU6411987,False
DJI_20260418132530_0005_W_t00015_box0.jpg,TBJU6418987,TBJU6418917,False
DJI_20260418132530_0005_W_t00015_box1.jpg,TBJU6587930,TBJU6587930,True
DJI_20260418132530_0005_W_t00015_box2.jpg,TBJU339375,TBJU3355118,False
DJI_20260418132530_0005_W_t00021_box0.jpg,TBJU5327809,TBJU5327809,True
DJI_20260418132530_0005_W_t00021_box1.jpg,TBJU3290357,TBJU3290357,True
DJI_20260418132530_0005_W_t00028_box0.jpg,TBJU1015340,TBJU1015340,True
DJI_20260418132530_0005_W_t00032_box0.jpg,TBJU0551689,TBJU0551689,True
DJI_20260418132530_0005_W_t00037_box0.jpg,TBJU0958587,TBJU0958587,True
DJI_20260418132530_0005_W_t00037_box1.jpg,TBJU68848,TBJU6615800,False
DJI_20260418132530_0005_W_t00040_box0.jpg,TBCU0292725,TBCU0292725,True
DJI_20260418132530_0005_W_t00040_box1.jpg,TBJU3319759,TBJU3319759,True
DJI_20260418132530_0005_W_t00048_box0.jpg,TBJU6904654,TBJU6904654,True
DJI_20260418132530_0005_W_t00048_box1.jpg,TBJU5029466,TBJU5021466,False
DJI_20260418132530_0005_W_t00049_box0.jpg,TBJU6904654,TBJU6584654,False
DJI_20260418132530_0005_W_t00049_box1.jpg,TBJU5029466,TBJU5029466,True
DJI_20260418132530_0005_W_t00049_box2.jpg,TBJU1931370,TBJU1931370,True
DJI_20260418132530_0005_W_t00053_box0.jpg,TBJU5750050,TBJU5750050,True
DJI_20260418132530_0005_W_t00053_box1.jpg,TBJU6392136,TBJU6392136,True
